Gene stable ID	HGNC symbol	GO term name	miRBase accession	Karyotype band	GO term accession
ENSG00000176136	MC5R	adenylate cyclase-activating G protein-coupled receptor signaling pathway		p11.21	GO:0007189
ENSG00000176136	MC5R	regulation of metabolic process		p11.21	GO:0019222
ENSG00000176136	MC5R	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger		p11.21	GO:0007187
ENSG00000176136	MC5R	hormone binding		p11.21	GO:0042562
ENSG00000185231	MC2R	G protein-coupled receptor signaling pathway		p11.21	GO:0007186
ENSG00000185231	MC2R	integral component of membrane		p11.21	GO:0016021
ENSG00000185231	MC2R	G protein-coupled receptor activity		p11.21	GO:0004930
ENSG00000185231	MC2R	melanocortin receptor activity		p11.21	GO:0004977
ENSG00000185231	MC2R	corticotropin receptor activity		p11.21	GO:0004978
ENSG00000185231	MC2R	membrane		p11.21	GO:0016020
ENSG00000185231	MC2R	plasma membrane		p11.21	GO:0005886
ENSG00000185231	MC2R	protein binding		p11.21	GO:0005515
ENSG00000185231	MC2R	signal transduction		p11.21	GO:0007165
ENSG00000185231	MC2R	cytoplasm		p11.21	GO:0005737
ENSG00000185231	MC2R	neuropeptide signaling pathway		p11.21	GO:0007218
ENSG00000185231	MC2R	integral component of plasma membrane		p11.21	GO:0005887
ENSG00000185231	MC2R	adenylate cyclase-activating G protein-coupled receptor signaling pathway		p11.21	GO:0007189
ENSG00000185231	MC2R	regulation of metabolic process		p11.21	GO:0019222
ENSG00000185231	MC2R	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger		p11.21	GO:0007187
ENSG00000185231	MC2R	placenta development		p11.21	GO:0001890
ENSG00000243779				p11.21	
ENSG00000279352				p11.21	
ENSG00000270469				p11.21	
ENSG00000175322	ZNF519			p11.21	
ENSG00000175322	ZNF519	regulation of transcription, DNA-templated		p11.21	GO:0006355
ENSG00000175322	ZNF519	nucleic acid binding		p11.21	GO:0003676
ENSG00000175322	ZNF519	nucleus		p11.21	GO:0005634
ENSG00000175322	ZNF519	metal ion binding		p11.21	GO:0046872
ENSG00000175322	ZNF519	DNA binding		p11.21	GO:0003677
ENSG00000175322	ZNF519	regulation of transcription by RNA polymerase II		p11.21	GO:0006357
ENSG00000175322	ZNF519	DNA-binding transcription factor activity, RNA polymerase II-specific		p11.21	GO:0000981
ENSG00000175322	ZNF519	nuclear chromatin		p11.21	GO:0000790
ENSG00000175322	ZNF519	RNA polymerase II cis-regulatory region sequence-specific DNA binding		p11.21	GO:0000978
ENSG00000267756				p11.21	
ENSG00000267150				p11.21	
ENSG00000267356				p11.21	
ENSG00000267704	FRG2LP			p11.21	
ENSG00000267324				p11.21	
ENSG00000175319	NF1P5			p11.21	
ENSG00000186481	ANKRD20A5P			p11.21	
ENSG00000212329	RNU6-316P			p11.21	
ENSG00000266145	RHOT1P1			p11.21	
ENSG00000283294				p11.21	
ENSG00000274214				p11.21	
ENSG00000265787	CYP4F35P			p11.21	
ENSG00000277743				p11.21	
ENSG00000265437				p11.21	
ENSG00000187589	TERF1P2			p11.21	
ENSG00000265296	FEM1AP2			p11.21	
ENSG00000286593				p11.21	
ENSG00000266605	LONRF2P1			p11.21	
ENSG00000265766	CXADRP3			p11.21	
ENSG00000266242	GRAMD4P7			p11.21	
ENSG00000183206	POTEC			p11.21	
ENSG00000183206	POTEC	protein binding		p11.21	GO:0005515
ENSG00000200132	RNU6-1021P			p11.21	
ENSG00000265340	OR4K7P			p11.21	
ENSG00000266693	OR4K8P			p11.21	
ENSG00000264570	SNX19P3			p11.21	
ENSG00000273732	VN1R74P			p11.21	
ENSG00000276318	GTF2IP8			p11.21	
ENSG00000180777	ANKRD30B			p11.21	
ENSG00000180777	ANKRD30B	protein binding		p11.21	GO:0005515
ENSG00000180777	ANKRD30B	molecular_function		p11.21	GO:0003674
ENSG00000180777	ANKRD30B	biological_process		p11.21	GO:0008150
ENSG00000180777	ANKRD30B	cellular_component		p11.21	GO:0005575
ENSG00000200645	RNU6-1210P			p11.21	
ENSG00000265737				p11.21	
ENSG00000265499	MIR3156-2	extracellular exosome	MI0014230	p11.21	GO:0070062
ENSG00000265786	LINC01906			p11.21	
ENSG00000264061	FGF7P1			p11.21	
ENSG00000263618				p11.21	
ENSG00000266554	LINC01443			p11.21	
ENSG00000264301	LINC01444			p11.21	
ENSG00000263821				p11.21	
ENSG00000279042				p11.21	
ENSG00000266522				p11.21	
ENSG00000278923				p11.21	
ENSG00000263635				p11.21	
ENSG00000286815				p11.21	
ENSG00000264880				p11.21	
ENSG00000287723				p11.21	
ENSG00000286293				p11.21	
ENSG00000265015				p11.21	
ENSG00000265631	BNIP3P3			p11.21	
ENSG00000266818				p11.21	
ENSG00000215512				p11.21	
ENSG00000222087	RNU6-721P			p11.21	
ENSG00000067900	ROCK1	ATP binding		q11.1	GO:0005524
ENSG00000067900	ROCK1	protein phosphorylation		q11.1	GO:0006468
ENSG00000067900	ROCK1	Rho protein signal transduction		q11.1	GO:0007266
ENSG00000067900	ROCK1	intracellular signal transduction		q11.1	GO:0035556
ENSG00000067900	ROCK1	protein serine/threonine kinase activity		q11.1	GO:0004674
ENSG00000067900	ROCK1	protein kinase activity		q11.1	GO:0004672
ENSG00000067900	ROCK1	actin cytoskeleton organization		q11.1	GO:0030036
ENSG00000067900	ROCK1	Rho GTPase binding		q11.1	GO:0017048
ENSG00000067900	ROCK1	GTP-Rho binding		q11.1	GO:0017049
ENSG00000067900	ROCK1	negative regulation of amyloid-beta formation		q11.1	GO:1902430
ENSG00000067900	ROCK1	positive regulation of gene expression		q11.1	GO:0010628
ENSG00000067900	ROCK1	positive regulation of MAPK cascade		q11.1	GO:0043410
ENSG00000067900	ROCK1	negative regulation of amyloid precursor protein catabolic process		q11.1	GO:1902992
ENSG00000067900	ROCK1	protein binding		q11.1	GO:0005515
ENSG00000067900	ROCK1	cytoplasm		q11.1	GO:0005737
ENSG00000067900	ROCK1	membrane		q11.1	GO:0016020
ENSG00000067900	ROCK1	metal ion binding		q11.1	GO:0046872
ENSG00000067900	ROCK1	nucleotide binding		q11.1	GO:0000166
ENSG00000067900	ROCK1	kinase activity		q11.1	GO:0016301
ENSG00000067900	ROCK1	transferase activity		q11.1	GO:0016740
ENSG00000067900	ROCK1			q11.1	GO:0106310
ENSG00000067900	ROCK1			q11.1	GO:0106311
ENSG00000067900	ROCK1	phosphorylation		q11.1	GO:0016310
ENSG00000067900	ROCK1	plasma membrane		q11.1	GO:0005886
ENSG00000067900	ROCK1	cytoskeleton		q11.1	GO:0005856
ENSG00000067900	ROCK1	Golgi apparatus		q11.1	GO:0005794
ENSG00000067900	ROCK1	centriole		q11.1	GO:0005814
ENSG00000067900	ROCK1	apoptotic process		q11.1	GO:0006915
ENSG00000067900	ROCK1	signal transduction		q11.1	GO:0007165
ENSG00000067900	ROCK1	negative regulation of endopeptidase activity		q11.1	GO:0010951
ENSG00000067900	ROCK1	Golgi membrane		q11.1	GO:0000139
ENSG00000067900	ROCK1	cell projection		q11.1	GO:0042995
ENSG00000067900	ROCK1	ruffle		q11.1	GO:0001726
ENSG00000067900	ROCK1	lamellipodium		q11.1	GO:0030027
ENSG00000067900	ROCK1	extracellular region		q11.1	GO:0005576
ENSG00000067900	ROCK1	regulation of microtubule cytoskeleton organization		q11.1	GO:0070507
ENSG00000067900	ROCK1	mitotic cytokinesis		q11.1	GO:0000281
ENSG00000067900	ROCK1	cytosol		q11.1	GO:0005829
ENSG00000067900	ROCK1	regulation of establishment of cell polarity		q11.1	GO:2000114
ENSG00000067900	ROCK1	regulation of actin cytoskeleton organization		q11.1	GO:0032956
ENSG00000067900	ROCK1	actomyosin structure organization		q11.1	GO:0031032
ENSG00000067900	ROCK1	cytoplasmic stress granule		q11.1	GO:0010494
ENSG00000067900	ROCK1	regulation of cell adhesion		q11.1	GO:0030155
ENSG00000067900	ROCK1	negative regulation of angiogenesis		q11.1	GO:0016525
ENSG00000067900	ROCK1	G protein-coupled receptor signaling pathway		q11.1	GO:0007186
ENSG00000067900	ROCK1	neutrophil degranulation		q11.1	GO:0043312
ENSG00000067900	ROCK1	peptidyl-threonine phosphorylation		q11.1	GO:0018107
ENSG00000067900	ROCK1	Rho-dependent protein serine/threonine kinase activity		q11.1	GO:0072518
ENSG00000067900	ROCK1	cortical actin cytoskeleton organization		q11.1	GO:0030866
ENSG00000067900	ROCK1	embryonic morphogenesis		q11.1	GO:0048598
ENSG00000067900	ROCK1	regulation of cell junction assembly		q11.1	GO:1901888
ENSG00000067900	ROCK1	regulation of cell migration		q11.1	GO:0030334
ENSG00000067900	ROCK1	secretory granule lumen		q11.1	GO:0034774
ENSG00000067900	ROCK1	ephrin receptor signaling pathway		q11.1	GO:0048013
ENSG00000067900	ROCK1	vascular endothelial growth factor receptor signaling pathway		q11.1	GO:0048010
ENSG00000067900	ROCK1	aspartic-type endopeptidase inhibitor activity		q11.1	GO:0019828
ENSG00000067900	ROCK1	tau protein binding		q11.1	GO:0048156
ENSG00000067900	ROCK1	negative regulation of protein binding		q11.1	GO:0032091
ENSG00000067900	ROCK1	myoblast migration		q11.1	GO:0051451
ENSG00000067900	ROCK1	protein localization to plasma membrane		q11.1	GO:0072659
ENSG00000067900	ROCK1	I-kappaB kinase/NF-kappaB signaling		q11.1	GO:0007249
ENSG00000067900	ROCK1	peptidyl-serine phosphorylation		q11.1	GO:0018105
ENSG00000067900	ROCK1	negative regulation of myosin-light-chain-phosphatase activity		q11.1	GO:0035509
ENSG00000067900	ROCK1	regulation of establishment of endothelial barrier		q11.1	GO:1903140
ENSG00000067900	ROCK1	negative regulation of bicellular tight junction assembly		q11.1	GO:1903347
ENSG00000067900	ROCK1	regulation of focal adhesion assembly		q11.1	GO:0051893
ENSG00000067900	ROCK1	regulation of cell motility		q11.1	GO:2000145
ENSG00000067900	ROCK1	aortic valve morphogenesis		q11.1	GO:0003180
ENSG00000067900	ROCK1	neuron projection development		q11.1	GO:0031175
ENSG00000067900	ROCK1	tau-protein kinase activity		q11.1	GO:0050321
ENSG00000067900	ROCK1	smooth muscle contraction		q11.1	GO:0006939
ENSG00000067900	ROCK1	positive regulation of cardiac muscle hypertrophy		q11.1	GO:0010613
ENSG00000067900	ROCK1	regulation of keratinocyte differentiation		q11.1	GO:0045616
ENSG00000067900	ROCK1	regulation of stress fiber assembly		q11.1	GO:0051492
ENSG00000067900	ROCK1	mRNA destabilization		q11.1	GO:0061157
ENSG00000067900	ROCK1	negative regulation of biomineral tissue development		q11.1	GO:0070168
ENSG00000067900	ROCK1	response to transforming growth factor beta		q11.1	GO:0071559
ENSG00000067900	ROCK1	regulation of blood vessel diameter		q11.1	GO:0097746
ENSG00000067900	ROCK1	regulation of angiotensin-activated signaling pathway		q11.1	GO:0110061
ENSG00000067900	ROCK1	positive regulation of connective tissue replacement		q11.1	GO:1905205
ENSG00000067900	ROCK1	response to angiotensin		q11.1	GO:1990776
ENSG00000067900	ROCK1	bleb		q11.1	GO:0032059
ENSG00000067900	ROCK1	leukocyte tethering or rolling		q11.1	GO:0050901
ENSG00000067900	ROCK1	positive regulation of focal adhesion assembly		q11.1	GO:0051894
ENSG00000067900	ROCK1	negative regulation of phosphorylation		q11.1	GO:0042326
ENSG00000067900	ROCK1	positive regulation of amyloid-beta clearance		q11.1	GO:1900223
ENSG00000067900	ROCK1	leukocyte cell-cell adhesion		q11.1	GO:0007159
ENSG00000067900	ROCK1	membrane to membrane docking		q11.1	GO:0022614
ENSG00000067900	ROCK1	leukocyte migration		q11.1	GO:0050900
ENSG00000067900	ROCK1	amyloid-beta complex		q11.1	GO:0106003
ENSG00000067900	ROCK1	apical constriction		q11.1	GO:0003383
ENSG00000067900	ROCK1	regulation of autophagy		q11.1	GO:0010506
ENSG00000067900	ROCK1	positive regulation of autophagy		q11.1	GO:0010508
ENSG00000067900	ROCK1	bleb assembly		q11.1	GO:0032060
ENSG00000067900	ROCK1	regulation of actin filament-based process		q11.1	GO:0032970
ENSG00000067900	ROCK1	negative regulation of neuron apoptotic process		q11.1	GO:0043524
ENSG00000067900	ROCK1	regulation of neuron differentiation		q11.1	GO:0045664
ENSG00000067900	ROCK1	negative regulation of membrane protein ectodomain proteolysis		q11.1	GO:0051045
ENSG00000067900	ROCK1	glomerular visceral epithelial cell migration		q11.1	GO:0090521
ENSG00000067900	ROCK1	neuron projection arborization		q11.1	GO:0140058
ENSG00000067900	ROCK1	regulation of synaptic vesicle endocytosis		q11.1	GO:1900242
ENSG00000067900	ROCK1	regulation of amyloid-beta formation		q11.1	GO:1902003
ENSG00000067900	ROCK1			q11.1	
ENSG00000244527				q11.1	
ENSG00000251886	RNU6-120P			q11.1	
ENSG00000263748	EXOGP1			q11.1	
ENSG00000265984				q11.1	
ENSG00000141449	GREB1L			q11.1	
ENSG00000141449	GREB1L	membrane		q11.1	GO:0016020
ENSG00000141449	GREB1L	integral component of membrane		q11.1	GO:0016021
ENSG00000141449	GREB1L	multicellular organism development		q11.1	GO:0007275
ENSG00000141449	GREB1L	kidney development		q11.1	GO:0001822
ENSG00000141449	GREB1L	metanephros development		q11.1	GO:0001656
ENSG00000141449	GREB1L	branching involved in ureteric bud morphogenesis		q11.1	GO:0001658
ENSG00000141449	GREB1L	cardiac ventricle development		q11.1	GO:0003231
ENSG00000141449	GREB1L	male genitalia development		q11.1	GO:0030539
ENSG00000141449	GREB1L	uterus development		q11.1	GO:0060065
ENSG00000141449	GREB1L	epithelial tube morphogenesis		q11.1	GO:0060562
ENSG00000141449	GREB1L	paramesonephric duct development		q11.1	GO:0061205
ENSG00000141449	GREB1L	mesonephric duct development		q11.1	GO:0072177
ENSG00000265948				q11.1	
ENSG00000265751				q11.1	
ENSG00000221139				q11.1	
ENSG00000141446	ESCO1	chromatin		q11.2	GO:0000785
ENSG00000141446	ESCO1	regulation of DNA replication		q11.2	GO:0006275
ENSG00000141446	ESCO1	sister chromatid cohesion		q11.2	GO:0007062
ENSG00000141446	ESCO1	post-translational protein acetylation		q11.2	GO:0034421
ENSG00000141446	ESCO1	nucleus		q11.2	GO:0005634
ENSG00000141446	ESCO1	metal ion binding		q11.2	GO:0046872
ENSG00000141446	ESCO1	transferase activity		q11.2	GO:0016740
ENSG00000141446	ESCO1	cell cycle		q11.2	GO:0007049
ENSG00000141446	ESCO1	zinc ion binding		q11.2	GO:0008270
ENSG00000141446	ESCO1	transferase activity, transferring acyl groups		q11.2	GO:0016746
ENSG00000141446	ESCO1	chromosome		q11.2	GO:0005694
ENSG00000141446	ESCO1	identical protein binding		q11.2	GO:0042802
ENSG00000141446	ESCO1	N-acetyltransferase activity		q11.2	GO:0008080
ENSG00000141446	ESCO1	nucleoplasm		q11.2	GO:0005654
ENSG00000141446	ESCO1	acetyltransferase activity		q11.2	GO:0016407
ENSG00000141446	ESCO1	peptidyl-lysine acetylation		q11.2	GO:0018394
ENSG00000141446	ESCO1	peptide-lysine-N-acetyltransferase activity		q11.2	GO:0061733
ENSG00000141446	ESCO1			q11.2	
ENSG00000167088	SNRPD1	RNA processing		q11.2	GO:0006396
ENSG00000167088	SNRPD1	nucleus		q11.2	GO:0005634
ENSG00000167088	SNRPD1	spliceosomal snRNP assembly		q11.2	GO:0000387
ENSG00000167088	SNRPD1	mRNA processing		q11.2	GO:0006397
ENSG00000167088	SNRPD1	RNA splicing		q11.2	GO:0008380
ENSG00000167088	SNRPD1	spliceosomal complex		q11.2	GO:0005681
ENSG00000167088	SNRPD1	RNA binding		q11.2	GO:0003723
ENSG00000167088	SNRPD1	cytoplasm		q11.2	GO:0005737
ENSG00000167088	SNRPD1	cytosol		q11.2	GO:0005829
ENSG00000167088	SNRPD1	protein binding		q11.2	GO:0005515
ENSG00000167088	SNRPD1	mRNA splicing, via spliceosome		q11.2	GO:0000398
ENSG00000167088	SNRPD1	catalytic step 2 spliceosome		q11.2	GO:0071013
ENSG00000167088	SNRPD1	U1 snRNP		q11.2	GO:0005685
ENSG00000167088	SNRPD1	nucleoplasm		q11.2	GO:0005654
ENSG00000167088	SNRPD1	U4/U6 x U5 tri-snRNP complex		q11.2	GO:0046540
ENSG00000167088	SNRPD1	U4 snRNP		q11.2	GO:0005687
ENSG00000167088	SNRPD1	U5 snRNP		q11.2	GO:0005682
ENSG00000167088	SNRPD1	methylosome		q11.2	GO:0034709
ENSG00000167088	SNRPD1	spliceosomal complex assembly		q11.2	GO:0000245
ENSG00000167088	SNRPD1	import into nucleus		q11.2	GO:0051170
ENSG00000167088	SNRPD1	SMN-Sm protein complex		q11.2	GO:0034719
ENSG00000167088	SNRPD1	U2-type precatalytic spliceosome		q11.2	GO:0071005
ENSG00000167088	SNRPD1	U2-type catalytic step 2 spliceosome		q11.2	GO:0071007
ENSG00000167088	SNRPD1	U2 snRNP		q11.2	GO:0005686
ENSG00000167088	SNRPD1	U12-type spliceosomal complex		q11.2	GO:0005689
ENSG00000167088	SNRPD1	precatalytic spliceosome		q11.2	GO:0071011
ENSG00000167088	SNRPD1	small nuclear ribonucleoprotein complex		q11.2	GO:0030532
ENSG00000167088	SNRPD1	commitment complex		q11.2	GO:0000243
ENSG00000167088	SNRPD1	pICln-Sm protein complex		q11.2	GO:0034715
ENSG00000167088	SNRPD1	spliceosomal tri-snRNP complex		q11.2	GO:0097526
ENSG00000167088	SNRPD1	U1 snRNP binding		q11.2	GO:1990446
ENSG00000167088	SNRPD1			q11.2	
ENSG00000158201	ABHD3	membrane		q11.2	GO:0016020
ENSG00000158201	ABHD3	integral component of membrane		q11.2	GO:0016021
ENSG00000158201	ABHD3	hydrolase activity		q11.2	GO:0016787
ENSG00000158201	ABHD3	lipid metabolic process		q11.2	GO:0006629
ENSG00000158201	ABHD3	phospholipase A1 activity		q11.2	GO:0008970
ENSG00000158201	ABHD3	phosphatidylserine 1-acylhydrolase activity		q11.2	GO:0052739
ENSG00000158201	ABHD3	1-acyl-2-lysophosphatidylserine acylhydrolase activity		q11.2	GO:0052740
ENSG00000158201	ABHD3	phospholipase A2 activity		q11.2	GO:0004623
ENSG00000158201	ABHD3	phospholipase A2 activity (consuming 1,2-dipalmitoylphosphatidylcholine)		q11.2	GO:0102567
ENSG00000158201	ABHD3	phospholipase A2 activity consuming 1,2-dioleoylphosphatidylethanolamine)		q11.2	GO:0102568
ENSG00000158201	ABHD3	plasma membrane		q11.2	GO:0005886
ENSG00000158201	ABHD3	carboxylic ester hydrolase activity		q11.2	GO:0052689
ENSG00000158201	ABHD3	cellular_component		q11.2	GO:0005575
ENSG00000158201	ABHD3	phosphatidylcholine metabolic process		q11.2	GO:0046470
ENSG00000158201	ABHD3	acylglycerol lipase activity		q11.2	GO:0047372
ENSG00000158201	ABHD3	acetylesterase activity		q11.2	GO:0008126
ENSG00000158201	ABHD3	short-chain carboxylesterase activity		q11.2	GO:0034338
ENSG00000158201	ABHD3	cellular lipid metabolic process		q11.2	GO:0044255
ENSG00000158201	ABHD3	medium-chain fatty acid biosynthetic process		q11.2	GO:0051792
ENSG00000158201	ABHD3	medium-chain fatty acid catabolic process		q11.2	GO:0051793
ENSG00000158201	ABHD3	phosphatidylcholine biosynthetic process		q11.2	GO:0006656
ENSG00000158201	ABHD3			q11.2	
ENSG00000264188				q11.2	
ENSG00000265656				q11.2	
ENSG00000221493	MIR320C1			q11.2	
ENSG00000101752	MIB1			q11.2	
ENSG00000101752	MIB1	zinc ion binding		q11.2	GO:0008270
ENSG00000101752	MIB1	metal ion binding		q11.2	GO:0046872
ENSG00000101752	MIB1	protein binding		q11.2	GO:0005515
ENSG00000101752	MIB1	ubiquitin-protein transferase activity		q11.2	GO:0004842
ENSG00000101752	MIB1	protein ubiquitination		q11.2	GO:0016567
ENSG00000101752	MIB1	cytoplasm		q11.2	GO:0005737
ENSG00000101752	MIB1	membrane		q11.2	GO:0016020
ENSG00000101752	MIB1	transferase activity		q11.2	GO:0016740
ENSG00000101752	MIB1	plasma membrane		q11.2	GO:0005886
ENSG00000101752	MIB1	cytoskeleton		q11.2	GO:0005856
ENSG00000101752	MIB1	Notch signaling pathway		q11.2	GO:0007219
ENSG00000101752	MIB1	microtubule organizing center		q11.2	GO:0005815
ENSG00000101752	MIB1	centrosome		q11.2	GO:0005813
ENSG00000101752	MIB1	cytosol		q11.2	GO:0005829
ENSG00000101752	MIB1	endocytosis		q11.2	GO:0006897
ENSG00000101752	MIB1	ubiquitin-dependent protein catabolic process		q11.2	GO:0006511
ENSG00000101752	MIB1	blood vessel development		q11.2	GO:0001568
ENSG00000101752	MIB1	in utero embryonic development		q11.2	GO:0001701
ENSG00000101752	MIB1	somitogenesis		q11.2	GO:0001756
ENSG00000101752	MIB1	neural tube formation		q11.2	GO:0001841
ENSG00000101752	MIB1	heart looping		q11.2	GO:0001947
ENSG00000101752	MIB1	heart development		q11.2	GO:0007507
ENSG00000101752	MIB1	negative regulation of neuron differentiation		q11.2	GO:0045665
ENSG00000101752	MIB1	positive regulation of endocytosis		q11.2	GO:0045807
ENSG00000101752	MIB1	postsynaptic density		q11.2	GO:0014069
ENSG00000101752	MIB1	cytoplasmic vesicle		q11.2	GO:0031410
ENSG00000252677				q11.2	
ENSG00000200750				q11.2	
ENSG00000242971	RN7SL233P			q11.2	
ENSG00000199977				q11.2	
ENSG00000265142	MIR133A1HG			q11.2	
ENSG00000283927	MIR133A1	extracellular space	MI0000450	q11.2	GO:0005615
ENSG00000283927	MIR133A1	mRNA binding involved in posttranscriptional gene silencing	MI0000450	q11.2	GO:1903231
ENSG00000283927	MIR133A1	gene silencing by miRNA	MI0000450	q11.2	GO:0035195
ENSG00000283927	MIR133A1	negative regulation of cell migration	MI0000450	q11.2	GO:0030336
ENSG00000283927	MIR133A1	positive regulation of gene expression	MI0000450	q11.2	GO:0010628
ENSG00000283927	MIR133A1	negative regulation of vascular associated smooth muscle cell proliferation	MI0000450	q11.2	GO:1904706
ENSG00000283927	MIR133A1	negative regulation of cell population proliferation	MI0000450	q11.2	GO:0008285
ENSG00000283927	MIR133A1	negative regulation of cardiac muscle cell apoptotic process	MI0000450	q11.2	GO:0010667
ENSG00000283927	MIR133A1	negative regulation of myoblast proliferation	MI0000450	q11.2	GO:2000818
ENSG00000283927	MIR133A1	negative regulation of ERK1 and ERK2 cascade	MI0000450	q11.2	GO:0070373
ENSG00000283927	MIR133A1	negative regulation of G1/S transition of mitotic cell cycle	MI0000450	q11.2	GO:2000134
ENSG00000283927	MIR133A1	positive regulation of cell fate commitment	MI0000450	q11.2	GO:0010455
ENSG00000283927	MIR133A1	negative regulation of cardiac muscle hypertrophy	MI0000450	q11.2	GO:0010614
ENSG00000283927	MIR133A1	positive regulation of myotube differentiation	MI0000450	q11.2	GO:0010831
ENSG00000283927	MIR133A1	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	MI0000450	q11.2	GO:0010881
ENSG00000283927	MIR133A1	negative regulation of delayed rectifier potassium channel activity	MI0000450	q11.2	GO:1902260
ENSG00000283927	MIR133A1	negative regulation of membrane repolarization during cardiac muscle cell action potential	MI0000450	q11.2	GO:1905032
ENSG00000283927	MIR133A1	negative regulation of low-density lipoprotein particle clearance	MI0000450	q11.2	GO:0010989
ENSG00000283927	MIR133A1	negative regulation of hydrogen peroxide-induced cell death	MI0000450	q11.2	GO:1903206
ENSG00000283927	MIR133A1	negative regulation of inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	MI0000450	q11.2	GO:0031586
ENSG00000283927	MIR133A1	regulation of ventricular cardiac muscle cell membrane repolarization	MI0000450	q11.2	GO:0060307
ENSG00000283927	MIR133A1	cellular response to cytokine stimulus	MI0000450	q11.2	GO:0071345
ENSG00000283927	MIR133A1	regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway	MI0000450	q11.2	GO:0071877
ENSG00000283927	MIR133A1	negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process	MI0000450	q11.2	GO:0140199
ENSG00000283927	MIR133A1	regulation of membrane repolarization during ventricular cardiac muscle cell action potential	MI0000450	q11.2	GO:1905024
ENSG00000283927	MIR133A1	positive regulation of cardiocyte differentiation	MI0000450	q11.2	GO:1905209
ENSG00000283927	MIR133A1	negative regulation of epidermal growth factor receptor signaling pathway involved in heart process	MI0000450	q11.2	GO:1905283
ENSG00000283927	MIR133A1	negative regulation of cAMP-dependent protein kinase activity	MI0000450	q11.2	GO:2000480
ENSG00000284453	MIR1-2	extracellular space	MI0000437	q11.2	GO:0005615
ENSG00000284453	MIR1-2	mRNA binding involved in posttranscriptional gene silencing	MI0000437	q11.2	GO:1903231
ENSG00000284453	MIR1-2	gene silencing by miRNA	MI0000437	q11.2	GO:0035195
ENSG00000284453	MIR1-2	miRNA mediated inhibition of translation	MI0000437	q11.2	GO:0035278
ENSG00000284453	MIR1-2	negative regulation of cardiac muscle cell proliferation	MI0000437	q11.2	GO:0060044
ENSG00000284453	MIR1-2	negative regulation of vascular associated smooth muscle cell proliferation	MI0000437	q11.2	GO:1904706
ENSG00000284453	MIR1-2	negative regulation of endothelial cell differentiation	MI0000437	q11.2	GO:0045602
ENSG00000284453	MIR1-2	positive regulation of cardiac muscle cell differentiation	MI0000437	q11.2	GO:2000727
ENSG00000284453	MIR1-2	negative regulation of myoblast proliferation	MI0000437	q11.2	GO:2000818
ENSG00000284453	MIR1-2	negative regulation of fibroblast growth factor receptor signaling pathway	MI0000437	q11.2	GO:0040037
ENSG00000284453	MIR1-2	negative regulation of DNA-binding transcription factor activity	MI0000437	q11.2	GO:0043433
ENSG00000284453	MIR1-2	positive regulation of protein phosphorylation	MI0000437	q11.2	GO:0001934
ENSG00000284453	MIR1-2	positive regulation of cell fate commitment	MI0000437	q11.2	GO:0010455
ENSG00000284453	MIR1-2	positive regulation of heart rate	MI0000437	q11.2	GO:0010460
ENSG00000284453	MIR1-2	negative regulation of cardiac muscle hypertrophy	MI0000437	q11.2	GO:0010614
ENSG00000284453	MIR1-2	positive regulation of myotube differentiation	MI0000437	q11.2	GO:0010831
ENSG00000284453	MIR1-2	regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	MI0000437	q11.2	GO:0010880
ENSG00000284453	MIR1-2	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion	MI0000437	q11.2	GO:0010881
ENSG00000284453	MIR1-2	negative regulation of insulin-like growth factor receptor signaling pathway	MI0000437	q11.2	GO:0043569
ENSG00000284453	MIR1-2	positive regulation of sarcomere organization	MI0000437	q11.2	GO:0060298
ENSG00000284453	MIR1-2	regulation of ventricular cardiac muscle cell membrane depolarization	MI0000437	q11.2	GO:0060373
ENSG00000284453	MIR1-2	ventricular septum morphogenesis	MI0000437	q11.2	GO:0060412
ENSG00000284453	MIR1-2	positive regulation of cardiac muscle contraction	MI0000437	q11.2	GO:0060452
ENSG00000284453	MIR1-2	cell migration involved in coronary vasculogenesis	MI0000437	q11.2	GO:0060980
ENSG00000284453	MIR1-2	positive regulation of ryanodine-sensitive calcium-release channel activity by adrenergic receptor signaling pathway involved in positive regulation of cardiac muscle contraction	MI0000437	q11.2	GO:0086094
ENSG00000284453	MIR1-2	negative regulation of canonical Wnt signaling pathway	MI0000437	q11.2	GO:0090090
ENSG00000284453	MIR1-2	reversible differentiation	MI0000437	q11.2	GO:0090677
ENSG00000284453	MIR1-2	negative regulation of delayed rectifier potassium channel activity	MI0000437	q11.2	GO:1902260
ENSG00000284453	MIR1-2	positive regulation of sprouting angiogenesis	MI0000437	q11.2	GO:1903672
ENSG00000284453	MIR1-2	positive regulation of voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	MI0000437	q11.2	GO:1903762
ENSG00000284453	MIR1-2	negative regulation of cardiac conduction	MI0000437	q11.2	GO:1903780
